Z Scores,Price,Count,0.038590221,-0.001542183
-0.944742378,-0.038,9,,
-0.29690986,-0.013,26,,
-0.452389665,-0.019,16,,
-0.063690154,-0.004,41,,
-0.063690154,-0.004,41,,
0.09178965,0.002,36,,
-0.245083259,-0.011,14,,
-0.426476364,-0.018,13,,
-0.219169958,-0.01,31,,
-0.219169958,-0.01,31,,
-0.219169958,-0.01,31,,
0.06587635,0.001,43,,
-0.063690154,-0.004,41,,
0.117702951,0.003,44,,
0.869188672,0.032,9,,
0.247269455,0.008,28,,
-0.245083259,-0.011,14,,
0.06587635,0.001,43,,
-0.530129567,-0.022,17,,
0.247269455,0.008,28,,
0.014049748,-0.001,41,,
-1.255701987,-0.05,3,,
0.299096056,0.01,17,,
0.247269455,0.008,28,,
-0.815175875,-0.033,10,,
-0.478302965,-0.02,11,,
-0.037776853,-0.003,37,,
-1.074308882,-0.043,7,,
0.06587635,0.001,43,,
0.09178965,0.002,36,,
-0.037776853,-0.003,37,,
-1.670314798,-0.066,4,,
-0.219169958,-0.01,31,,
-0.737435972,-0.03,7,,
2.553553218,0.097,1,,
0.273182755,0.009,32,,
2.035287204,0.077,2,,
-1.566661595,-0.062,3,,
-0.581956168,-0.024,12,,
-1.229788686,-0.049,7,,
2.709033022,0.103,2,,
2.60537982,0.099,1,,
1.983460603,0.075,4,,
-0.27099656,-0.012,28,,
-0.011863552,-0.002,37,,
-0.167343357,-0.008,31,,
-0.944742378,-0.038,9,,
-1.696228099,-0.067,3,,
2.113027106,0.08,2,,
-0.970655679,-0.039,11,,
2.009373903,0.076,3,,
1.024668476,0.038,6,,
-0.089603455,-0.005,30,,
-0.063690154,-0.004,41,,
